sku,name,url,price,categories,group_id,image_url,in_stock,keywords,annual_price,discount_pct,contract_length,energy_source,customer_type,plan_type,speed_mbps,data_allowance,green_energy_pct,promo_badge,rating,category_l1,category_l2,category_l3,description,features,image_url_secondary,on_sale,eco_aware,households_switched_30d,offer_ends_at,lng:es_ES:name,lng:es_ES:description,lng:es_ES:keywords
SH-LEAK,NovaLeak Smart Water-Leak Sensor,/plan/SH-LEAK,39,Smart Home|Devices|Safety,SH-LEAK,https://images.unsplash.com/photo-1558002038-1055907df827?auto=format&fit=crop&w=720&q=70,false,leak|water|sensor|safety|home insurance,39,,One-off purchase,,Residential,Smart Home,,,,,4.3,Smart Home,Safety,,Detects leaks in seconds and alerts your phone — and a partner plumber if you opt-in.,Instant alerts|5-year battery|Optional partner plumber|Insurance discount,,,,88,,NovaLeak Smart Water-Leak Sensor,Detects leaks in seconds and alerts your phone — and a partner plumber if you opt-in.,leak|water|sensor|safety|home insurance
SH-SOLAR-3K,NovaSolar 3 kWp Roof Kit,/plan/SH-SOLAR-3K,69,Smart Home|Solar|Solar Kits,SH-SOLAR,https://images.unsplash.com/photo-1509391366360-2e959784a276?auto=format&fit=crop&w=720&q=70,true,solar|roof|3kwp|self-consumption|installation,828,,60 months,100% Renewable,Residential,Smart Home,,,100,Eco,4.6,Smart Home,Solar,,Solar roof kit (3 kWp). Production typically covers 60% of household consumption.,8 panels + inverter|Free study + permits|60-month financing|Production guarantee 25 years,,,true,412,,NovaSolar 3 kWp Roof Kit,Solar roof kit (3 kWp). Production typically covers 60% of household consumption.,solar|roof|3kwp|self-consumption|installation
SH-SOLAR-6K,NovaSolar 6 kWp Roof Kit,/plan/SH-SOLAR-6K,119,Smart Home|Solar|Solar Kits,SH-SOLAR,https://images.unsplash.com/photo-1509391366360-2e959784a276?auto=format&fit=crop&w=720&q=70,true,solar|roof|6kwp|self-consumption|family,1428,,60 months,100% Renewable,Residential,Smart Home,,,100,Most Popular,4.7,Smart Home,Solar,,Larger 6 kWp solar kit for big households or low-shade roofs. Net metering included.,16 panels + inverter|Free permits|Net metering|Production guarantee 25 years,,,true,234,,NovaSolar 6 kWp Roof Kit,Larger 6 kWp solar kit for big households or low-shade roofs. Net metering included.,solar|roof|6kwp|self-consumption|family
SH-EV-7K,NovaCharge 7 kW EV Charger,/plan/SH-EV-7K,599,Smart Home|EV|Chargers,SH-EV,https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=720&q=70,true,ev|charger|7kw|home charging|wifi|type 2,599,,One-off purchase,,Residential,Smart Home,,,,New,4.5,Smart Home,EV Charging,,Type 2 home wallbox. 7 kW. Schedules itself to use your cheapest off-peak hours.,7 kW|Wi-Fi + 4G|Smart scheduling|Solar-aware mode,,,,168,,NovaCharge 7 kW Cargador VE,Type 2 home wallbox. 7 kW. Schedules itself to use your cheapest off-peak hours.,ev|charger|7kw|home charging|wifi|type 2
SH-EV-22K,NovaCharge 22 kW Wallbox Pro,/plan/SH-EV-22K,1099,Smart Home|EV|Chargers,SH-EV,https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=720&q=70,true,ev|charger|22kw|three phase|fast charging|wallbox,1099,,One-off purchase,,Both,Smart Home,,,,,4.6,Smart Home,EV Charging,,Three-phase 22 kW wallbox for premium EVs and small fleets.,22 kW three-phase|RFID + app access|OCPP 1.6|Optional load-balancing,,,,76,,NovaCharge 22 kW Wallbox Pro,Three-phase 22 kW wallbox for premium EVs and small fleets.,ev|charger|22kw|three phase|fast charging|wallbox
SH-BATT,NovaBattery 5 kWh Home Storage,/plan/SH-BATT,49,Smart Home|Solar|Storage,SH-BATT,https://images.unsplash.com/photo-1497435334941-8c899ee9e8e9?auto=format&fit=crop&w=720&q=70,true,battery|home storage|5kwh|solar|backup,588,,60 months,,Residential,Smart Home,,,,,4.5,Smart Home,Solar,,Store excess solar production for night use. Power outage backup included.,5 kWh LiFePO4|Outage backup|10-year warranty|NovaPower app integration,,,,142,,NovaBattery 5 kWh Home Storage,Store excess solar production for night use. Power outage backup included.,battery|home storage|5kwh|solar|backup
ADD-INS-HOME,NovaProtect Home Insurance Add-on,/plan/ADD-INS-HOME,6.99,Add-ons|Insurance|Home,ADD-INS,https://images.unsplash.com/photo-1558002038-1055907df827?auto=format&fit=crop&w=720&q=70,true,insurance|home|appliance|protection|peace of mind,83.88,,12 months,,Residential,Add-on,,,,,4.2,Add-ons,Insurance,,"Covers electrical damage to your appliances, up to €5,000/year.","Up to €5,000 / year|24/7 claims line|Free engineer visit",,,,540,,NovaProtect Home Insurance Add-on,"Covers electrical damage to your appliances, up to €5,000/year.",insurance|home|appliance|protection|peace of mind
ADD-INS-DEV,NovaProtect Device Insurance,/plan/ADD-INS-DEV,4.99,Add-ons|Insurance|Mobile,ADD-INS,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,insurance|mobile|device|broken|theft,59.88,,12 months,,Residential,Add-on,,,,,4.0,Add-ons,Insurance,,Damage and theft cover for your phone — same-day replacement.,Damage + theft|Same-day replacement|No excess on first claim,,,,312,,NovaProtect Device Insurance,Damage and theft cover for your phone — same-day replacement.,insurance|Móvil|device|broken|theft
ADD-MAINT,NovaMaintain — Annual Boiler Service,/plan/ADD-MAINT,3.99,Add-ons|Maintenance|Heating,ADD-MAINT,https://images.unsplash.com/photo-1605000797499-95a51c5269ae?auto=format&fit=crop&w=720&q=70,true,maintenance|boiler|annual|gas|safety,47.88,,12 months,,Residential,Add-on,,,,,4.3,Add-ons,Maintenance,,Annual boiler safety check + 24/7 emergency line. Save 50% on call-outs.,Annual safety check|24/7 line|50% off call-outs|Certified engineers,,,,488,,NovaMaintain — Annual Boiler Service,Annual boiler safety check + 24/7 emergency line. Save 50% on call-outs.,maintenance|boiler|annual|gas|safety
ADD-INSTALL,NovaInstall — Pro Installation Service,/plan/ADD-INSTALL,99,Add-ons|Installation,ADD-INSTALL,https://images.unsplash.com/photo-1558002038-1055907df827?auto=format&fit=crop&w=720&q=70,true,installation|pro|smart home|one off,99,,One-off purchase,,Both,Add-on,,,,,4.5,Add-ons,Services,,"Professional install for any NovaPower smart device, EV charger or solar.",Certified electrician|Fixed price|Same-week scheduling|Workmanship guarantee,,,,220,,NovaInstall — Pro Installation Service,"Professional install for any NovaPower smart device, Cargador VE or solar.",installation|pro|Hogar Inteligente|one off
ADD-PRIORITY,NovaPriority — 24/7 Premium Support,/plan/ADD-PRIORITY,2.99,Add-ons|Support,ADD-SUP,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,support|priority|24/7|premium|service,35.88,,12 months,,Both,Add-on,,,,,4.4,Add-ons,Support,,Skip the queue. 24/7 premium line with average pickup in 30 seconds.,24/7 premium line|30-second pickup target|Dedicated agents|WhatsApp channel,,,,660,,NovaPriority — 24/7 Premium Support,Skip the queue. 24/7 premium line with average pickup in 30 seconds.,support|priority|24/7|premium|service
ADD-VPN,NovaSecure VPN,/plan/ADD-VPN,3.49,Add-ons|Security|Digital,ADD-DIG,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=720&q=70,true,vpn|privacy|streaming|security|wifi,41.88,,12 months,,Residential,Add-on,,,,,4.2,Add-ons,Security,,"Encrypted browsing on every device. 60+ countries, no logs.",Unlimited bandwidth|60+ countries|No-log policy|5 simultaneous devices,,,,380,,NovaSecure VPN,"Encrypted browsing on every device. 60+ countries, no logs.",vpn|privacy|streaming|security|wifi
ADD-ROAM,NovaRoam — Worldwide Roaming Pass,/plan/ADD-ROAM,9,Add-ons|Mobile|Roaming,ADD-ROAM,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,roaming|travel|abroad|data|day pass,108,,No commitment,,Residential,Add-on,,,,,4.1,Add-ons,Mobile,,1 GB / day worldwide while traveling. Activates only on the days you use it.,1 GB per day|Pay only on travel days|120+ countries|Activate from app,,,,290,,NovaRoam — Worldwide Roaming Pass,1 GB / day worldwide while traveling. Activates only on the days you use it.,roaming|travel|abroad|data|day pass
ADD-EVPASS,NovaCharge EV — Public Network Pass,/plan/ADD-EVPASS,4.99,Add-ons|EV,ADD-EVPASS,https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=720&q=70,true,ev|public charging|network|app|fast,59.88,,12 months,,Residential,Add-on,,,,,4.4,Add-ons,EV,,"Access 60,000+ public EV chargers across Europe with one tap and one bill.","60,000+ chargers|EU-wide access|Single monthly bill|Live availability",,,,175,,NovaCharge EV — Public Network Pass,"Access 60,000+ public Cargador VEs across Europe with one tap and one bill.",ev|public charging|network|app|fast
INS-TECH-PHONE,NovaShield Phone Protection,/plan/INS-TECH-PHONE,4.99,Insurance|Tech|Smartphone Protection,INS-TECH,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,true,smartphone|phone|accident|theft|breakdown|coverage|protection,,0,12 months,,Residential,Insurance,,,,New,4.5,Insurance,Tech Insurance,Smartphone Protection,"Accidental damage, theft and breakdown cover for your smartphone. Next-day replacement guarantee.",Accidental damage|Theft cover|Breakdown cover|Next-day replacement|Worldwide cover,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?auto=format&fit=crop&w=720&q=70,,false,,,NovaShield Protección Móvil,"Cobertura por daños accidentales, robo y avería para tu smartphone. Sustitución en 24 horas.",móvil|smartphone|accidente|robo|cobertura|protección
INS-TECH-LAPTOP,NovaShield Laptop & Device Cover,/plan/INS-TECH-LAPTOP,7.99,Insurance|Tech|Laptop Protection,INS-TECH,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,laptop|tablet|device|accident|theft|business|coverage,,0,12 months,,Both,Insurance,,,,New,4.4,Insurance,Tech Insurance,Laptop Protection,"Comprehensive protection for laptops, tablets and smart home devices. Up to €2,000 cover per claim.","Accidental damage|Liquid damage|Theft|Up to €2,000 cover|Business use included",,,false,,,NovaShield Cobertura Portátil y Dispositivos,"Protección completa para portátiles, tablets y dispositivos del hogar inteligente.",portátil|tablet|dispositivo|accidente|robo|cobertura
INS-TECH-SMARTHOME,NovaShield Smart Home Protection,/plan/INS-TECH-SMARTHOME,9.99,Insurance|Tech|Smart Home Protection,INS-TECH,https://images.unsplash.com/photo-1558002038-1055907df827?auto=format&fit=crop&w=720&q=70,true,smart home|thermostat|camera|speaker|EV charger|cyber|protection,,10,12 months,,Residential,Insurance,,,,Bundle & Save,4.6,Insurance,Tech Insurance,Smart Home Protection,"All-in-one protection for your smart home ecosystem: thermostats, speakers, cameras, EV chargers and more.",All smart devices covered|EV charger protection|Camera & doorbell cover|Cyber protection included,,,false,,,NovaShield Protección Hogar Inteligente,"Protección integral para todo tu ecosistema domótico: termostatos, altavoces, cámaras y cargadores.",hogar inteligente|termostato|cámara|domótica|cargador|protección
INS-LIFE-TERM,NovaLife Term Life — 20 Years,/plan/INS-LIFE-TERM,14.90,Insurance|Life|Term Life,INS-LIFE,https://images.unsplash.com/photo-1559839734-2b71ea197ec2?auto=format&fit=crop&w=720&q=70,true,life|term|death benefit|family|protection|premium|coverage,,0,20 years,,Residential,Insurance,,,,Most Popular,4.8,Insurance,Life Insurance,Term Life,"€200,000 death benefit over 20 years. Fixed monthly premium, no medical exam for amounts under €100k.","€200,000 cover|Fixed premium|20-year term|No medical exam under €100k|Critical illness rider available",,,false,,,NovaVida Seguro de Vida Temporal 20 Años,"Capital de €200,000 durante 20 años. Prima fija mensual, sin reconocimiento médico hasta €100k.",vida|temporal|capital|familia|protección|prima
INS-LIFE-FAMILY,NovaLife Family Plan,/plan/INS-LIFE-FAMILY,24.90,Insurance|Life|Family Plan,INS-LIFE,https://images.unsplash.com/photo-1529156069-7c4832861dc4?auto=format&fit=crop&w=720&q=70,true,family|life|joint|children|couple|cover|protection|benefit,,15,No commitment,,Residential,Insurance,,,,Best Seller,4.9,Insurance,Life Insurance,Family Plan,Joint life cover for couples and families. Covers up to 4 family members with one affordable premium.,Covers up to 4 members|Joint life benefit|Critical illness included|Children cover included|Flexible term,,,false,,,NovaVida Plan Familiar,Cobertura de vida conjunta para parejas y familias. Cubre hasta 4 miembros con una sola prima.,familia|vida|conjunto|hijos|pareja|cobertura|protección
INS-CAR-THIRD,NovaDrive Third-Party Car Insurance,/plan/INS-CAR-THIRD,12.90,Insurance|Car|Third-Party,INS-CAR,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?auto=format&fit=crop&w=720&q=70,true,car|auto|third-party|liability|roadside|EU|motor,,0,12 months,,Residential,Insurance,,,,,4.2,Insurance,Car Insurance,Third-Party,Basic mandatory third-party liability cover. Complies with EU motor insurance requirements.,Third-party liability|EU compliant|24/7 roadside assistance|Legal defence included,,,false,,,NovaDrive Seguro de Coche a Terceros,Cobertura básica obligatoria de responsabilidad civil. Cumple con los requisitos de la UE.,coche|auto|terceros|responsabilidad civil|asistencia|motor
INS-CAR-COMP,NovaDrive Comprehensive Car Insurance,/plan/INS-CAR-COMP,29.90,Insurance|Car|Comprehensive,INS-CAR,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d?auto=format&fit=crop&w=720&q=70,true,car|auto|comprehensive|theft|fire|damage|courtesy car|no-claims|motor,,5,12 months,,Residential,Insurance,,,,Most Popular,4.7,Insurance,Car Insurance,Comprehensive,"Full comprehensive cover including own damage, theft, fire, and natural events. Courtesy car included.",Own damage|Theft & fire|Natural events|Courtesy car|Windscreen cover|No-claims bonus protection,,,false,,,NovaDrive Seguro de Coche a Todo Riesgo,"Cobertura completa incluyendo daños propios, robo, incendio y fenómenos naturales.",coche|auto|todo riesgo|robo|incendio|daños|motor
INS-CAR-EV,NovaDrive EV Insurance,/plan/INS-CAR-EV,22.90,Insurance|Car|EV Insurance,INS-CAR,https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=720&q=70,true,EV|electric vehicle|battery|charging|eco|green|motor|insurance,,0,12 months,,Residential,Insurance,,,,New,4.6,Insurance,Car Insurance,EV Insurance,"Specialist insurance for electric vehicles. Includes battery cover, charge-point liability and EV roadside assist.",Battery cover|Charge-point liability|EV roadside assist|Range anxiety cover|Replacement EV while in repair,,,true,,,NovaDrive Seguro Vehículo Eléctrico,Seguro especializado para vehículos eléctricos. Incluye cobertura de batería y asistencia en ruta.,vehículo eléctrico|batería|carga|eco|verde|motor|seguro
INS-HOME-BASIC,NovaHome Basic Home Insurance,/plan/INS-HOME-BASIC,9.99,Insurance|Home|Basic,INS-HOME,https://images.unsplash.com/photo-1568605114967-8130f3a36994?auto=format&fit=crop&w=720&q=70,true,home|house|fire|flood|theft|renters|contents|protection,,0,12 months,,Residential,Insurance,,,,,4.3,Insurance,Home Insurance,Basic,"Essential home cover: fire, flooding, theft. Simple and affordable for renters and first-time buyers.","Fire & smoke|Flooding|Theft & vandalism|Emergency assistance|Contents up to €20,000",,,false,,,NovaHogar Seguro de Hogar Básico,"Cobertura esencial del hogar: incendio, inundación, robo. Sencillo y asequible.",hogar|casa|incendio|inundación|robo|inquilinos|contenido|protección
INS-HOME-PREMIUM,NovaHome Premium Multi-Risk,/plan/INS-HOME-PREMIUM,18.90,Insurance|Home|Multi-Risk,INS-HOME,https://images.unsplash.com/photo-1568605114967-8130f3a36994?auto=format&fit=crop&w=720&q=70,true,home|multi-risk|building|contents|cyber|liability|premium|protection,,10,12 months,,Residential,Insurance,,,,Best Seller,4.8,Insurance,Home Insurance,Multi-Risk,"Complete multi-risk home protection. Building + contents, legal liability, cyber and smart device cover included.",Building & contents|Legal liability|Cyber cover|Smart device protection|Temporary accommodation|Locksmith 24/7,,,false,,,NovaHogar Premium Multirriesgo,"Protección completa multirriesgo. Continente y contenido, responsabilidad civil, ciberseguridad y domótica.",hogar|multirriesgo|continente|contenido|ciberseguridad|responsabilidad|premium
INS-TRAVEL-ROAM,NovaTravel Roaming Shield,/plan/INS-TRAVEL-ROAM,3.99,Insurance|Travel|Roaming Bundle,INS-TRAVEL,https://images.unsplash.com/photo-1488646953014-85cb44e25828?auto=format&fit=crop&w=720&q=70,true,travel|roaming|mobile|luggage|medical|emergency|holiday|trip,,0,No commitment,,Residential,Insurance,,,,Bundle & Save,4.5,Insurance,Travel Insurance,Roaming Bundle,"Add-on travel cover that pairs with your NovaPower mobile plan. Medical emergencies, lost luggage, trip cancellation.",Medical emergency cover|Lost luggage|Trip cancellation|Roaming mobile cover|24/7 travel assistance,,,false,,,NovaViaje Escudo Roaming,"Cobertura de viaje que complementa tu plan móvil NovaPower. Emergencias médicas, equipaje perdido y cancelación.",viaje|roaming|móvil|equipaje|médico|emergencia|vacaciones
INS-TRAVEL-ANNUAL,NovaTravel Annual Multi-Trip,/plan/INS-TRAVEL-ANNUAL,8.99,Insurance|Travel|Annual,INS-TRAVEL,https://images.unsplash.com/photo-1488646953014-85cb44e25828?auto=format&fit=crop&w=720&q=70,true,travel|annual|multi-trip|worldwide|medical|family|unlimited,,0,12 months,,Residential,Insurance,,,,Most Popular,4.7,Insurance,Travel Insurance,Annual,"Unlimited trips in a year with a single annual premium. Up to 31 days per trip, worldwide cover.","Unlimited trips/year|Up to 31 days/trip|Medical €500k|Cancellation €5,000|Baggage €2,000|Family included",,,false,,,NovaViaje Anual Multi-Viaje,"Viajes ilimitados en un año con una sola prima anual. Hasta 31 días por viaje, cobertura mundial.",viaje|anual|multi-viaje|mundial|médico|familia|ilimitado
